ts_ms,pod_total,pod_ready,queue_depth,rate_in,rate_out,deliver_total,publish_total
1776957606610,1,1,0,0,0,0,0
1776957608084,1,1,0,0,0,0,0
1776957609344,1,1,0,0,0,0,0
1776957611121,1,1,0,0,0,0,0
1776957612375,1,1,0,0,0,0,0
1776957613654,1,1,0,0,0,0,0
1776957615082,1,1,0,0,0,0,0
1776957616343,1,1,0,0,0,0,0
1776957617666,1,1,0,0,0,0,0
1776957619021,1,1,0,0,0,0,0
1776957620495,1,1,1,0.0,0.0,17,17
1776957621810,1,1,1,0.0,0.0,17,17
1776957623118,1,1,1,0.0,0.0,17,17
1776957624351,1,1,1,0.0,0.0,17,17
1776957625644,1,1,1,4.8,4.8,41,41
1776957627000,1,1,1,4.8,4.8,41,41
1776957628225,1,1,1,4.8,4.8,41,41
1776957630002,1,1,1023,375.6,5.0,66,1919
1776957631213,1,1,1023,375.6,5.0,66,1919
1776957632447,1,1,1023,375.6,5.0,66,1919
1776957633754,1,1,1023,375.6,5.0,66,1919
1776957635053,1,1,3832,590.0,5.0,91,4869
1776957636295,5,1,3832,590.0,5.0,91,4869
1776957637773,5,1,3832,590.0,5.0,91,4869
1776957639081,5,1,3832,590.0,5.0,91,4869
1776957640443,5,1,5797,207.0,5.0,116,5904
1776957641714,5,1,5797,207.0,5.0,116,5904
1776957643041,5,1,5797,207.0,5.0,116,5904
1776957644300,5,1,5797,207.0,5.0,116,5904
1776957645648,5,1,5772,0.0,4.8,140,5904
1776957647049,5,1,5772,0.0,4.8,140,5904
1776957648292,5,2,5772,0.0,4.8,140,5904
1776957649811,5,5,5772,0.0,4.8,140,5904
1776957651104,10,5,5695,0.0,21.8,249,5904
1776957652355,10,5,5695,0.0,21.8,249,5904
1776957653606,10,5,5695,0.0,21.8,249,5904
1776957655043,10,5,5574,0.0,24.0,369,5904
1776957656290,10,5,5574,0.0,24.0,369,5904
1776957657799,10,5,5574,0.0,24.0,369,5904
1776957659053,10,5,5574,0.0,24.0,369,5904
1776957660400,10,5,5453,0.0,24.2,490,5904
1776957661711,10,5,5453,0.0,24.2,490,5904
1776957663048,10,5,5453,0.0,24.2,490,5904
1776957664312,10,5,5453,0.0,24.2,490,5904
1776957665982,10,5,5332,0.0,23.8,609,5904
1776957667254,10,5,5332,0.0,23.8,609,5904
1776957668547,10,5,5332,0.0,23.8,609,5904
1776957670033,10,8,5138,0.0,45.0,834,5904
1776957671494,10,9,5138,0.0,45.0,834,5904
1776957673056,10,9,5138,0.0,45.0,834,5904
1776957674299,10,10,5138,0.0,45.0,834,5904
1776957676049,10,10,4903,0.0,47.2,1070,5904
1776957677293,10,10,4903,0.0,47.2,1070,5904
1776957678648,10,10,4903,0.0,47.2,1070,5904
1776957680040,10,10,4663,0.0,47.8,1309,5904
1776957681596,10,10,4663,0.0,47.8,1309,5904
1776957683044,10,10,4663,0.0,47.8,1309,5904
1776957684283,10,10,4663,0.0,47.8,1309,5904
1776957685547,10,10,4425,0.0,47.2,1545,5904
1776957687034,10,10,4425,0.0,47.2,1545,5904
1776957688325,10,10,4425,0.0,47.2,1545,5904
1776957690011,10,10,4188,0.0,47.8,1784,5904
1776957691286,10,10,4188,0.0,47.8,1784,5904
1776957692576,10,10,4188,0.0,47.8,1784,5904
1776957693877,10,10,4188,0.0,47.8,1784,5904
