ts_ms,pod_total,pod_ready,queue_depth,rate_in,rate_out,deliver_total,publish_total
1776956760512,1,1,0,0,0,0,0
1776956762086,1,1,0,0,0,0,0
1776956764059,1,1,0,0,0,0,0
1776956766058,1,1,0,0,0,0,0
1776956767730,1,1,0,0,0,0,0
1776956769007,1,1,0,0,0,0,0
1776956770352,1,1,0,0,0,0,0
1776956772048,1,1,0,0,0,0,0
1776956774035,1,1,1,0.0,0.0,16,16
1776956776082,1,1,1,0.0,0.0,16,16
1776956777711,1,1,1,0.0,0.0,16,16
1776956779029,1,1,1,4.8,4.8,40,40
1776956780330,1,1,1,4.8,4.8,40,40
1776956782053,1,1,1,4.8,4.8,40,40
1776956784053,1,1,1677,417.0,5.0,65,2125
1776956786079,1,1,1677,417.0,5.0,65,2125
1776956787683,1,1,1677,417.0,5.0,65,2125
1776956788986,1,1,5081,685.2,5.0,90,5551
1776956790231,1,1,5081,685.2,5.0,90,5551
1776956792037,1,1,5081,685.2,5.0,90,5551
1776956794059,5,1,6864,284.8,4.8,114,6975
1776956795383,5,1,6864,284.8,4.8,114,6975
1776956797032,5,1,6864,284.8,4.8,114,6975
1776956798342,5,1,6839,284.8,5.0,139,6975
1776956800024,5,1,6839,0.0,5.0,139,6975
1776956802056,5,1,6839,0.0,5.0,139,6975
1776956803501,5,1,6814,0.0,4.8,163,6975
1776956805023,5,1,6814,0.0,4.8,163,6975
1776956806309,5,1,6814,0.0,4.8,163,6975
1776956807723,5,1,6814,0.0,4.8,163,6975
1776956809117,10,4,6753,0.0,13.2,229,6975
1776956811025,10,4,6753,0.0,13.2,229,6975
1776956812325,10,5,6753,0.0,13.2,229,6975
1776956814062,10,5,6632,0.0,23.8,348,6975
1776956815389,10,5,6632,0.0,23.8,348,6975
1776956816687,10,5,6632,0.0,23.8,348,6975
1776956818075,10,5,6632,0.0,23.8,348,6975
1776956819398,10,5,6632,0.0,24.2,469,6975
1776956821073,10,5,6632,0.0,24.2,469,6975
1776956822374,10,5,6632,0.0,24.2,469,6975
1776956824070,10,5,6511,0.0,23.4,586,6975
1776956825444,10,5,6511,0.0,23.4,586,6975
1776956826790,10,5,6511,0.0,23.4,586,6975
1776956828072,10,5,6511,0.0,23.4,586,6975
1776956829429,10,5,6390,0.0,30.8,740,6975
1776956830795,10,5,6390,0.0,30.8,740,6975
1776956832103,10,9,6390,0.0,30.8,740,6975
1776956833510,10,10,6243,0.0,46.8,974,6975
1776956835060,10,10,6243,0.0,46.8,974,6975
1776956836410,10,10,6243,0.0,46.8,974,6975
1776956837732,10,10,0,0,0,0,0
1776956839004,10,10,0,0,0,0,0
1776956840975,10,10,0,0,0,0,0
1776956842275,10,10,0,0,0,0,0
1776956844060,10,10,0,0,0,0,0
1776956845370,10,10,0,0,0,0,0
1776956846688,10,10,5768,0.0,47.4,1446,6975
1776956848120,10,10,5768,0.0,47.4,1446,6975
1776956849568,10,10,5531,0.0,47.2,1682,6975
1776956850833,10,10,5531,0.0,47.2,1682,6975
1776956852118,10,10,5531,0.0,47.2,1682,6975
1776956853379,10,10,5531,0.0,47.2,1682,6975
1776956854711,10,10,5295,0.0,47.2,1918,6975
1776956856074,10,10,5295,0.0,47.2,1918,6975
1776956857348,10,10,5295,0.0,47.2,1918,6975
1776956858693,10,10,5057,0.0,47.2,2154,6975
1776956860068,10,10,5057,0.0,47.2,2154,6975
1776956861601,10,10,5057,0.0,47.2,2154,6975
1776956862924,10,10,5057,0.0,47.2,2154,6975
1776956864225,10,10,4821,0.0,47.6,2392,6975
1776956865576,10,10,4821,0.0,47.6,2392,6975
1776956867070,10,10,4821,0.0,47.6,2392,6975
1776956868384,10,10,4582,0.0,47.0,2627,6975
1776956870064,10,10,4582,0.0,47.0,2627,6975
1776956871347,10,10,4582,0.0,47.0,2627,6975
1776956872677,10,10,4582,0.0,47.0,2627,6975
1776956874054,10,10,4346,0.0,47.8,2866,6975
1776956875386,10,10,4346,0.0,47.8,2866,6975
1776956876689,10,10,4346,0.0,47.8,2866,6975
1776956878060,10,10,4346,0.0,47.8,2866,6975
1776956879682,10,10,4108,0.0,47.2,3102,6975
1776956880999,10,10,4108,0.0,47.2,3102,6975
1776956882242,10,10,4108,0.0,47.2,3102,6975
1776956883531,10,10,3871,0.0,47.0,3337,6975
1776956885045,10,10,3871,0.0,47.0,3337,6975
1776956886365,10,10,3871,0.0,47.0,3337,6975
1776956887635,10,10,3871,0.0,47.0,3337,6975
1776956888988,10,10,3631,0.0,48.0,3577,6975
1776956890308,10,10,3631,0.0,48.0,3577,6975
1776956891584,10,10,3631,0.0,48.0,3577,6975
1776956892896,10,10,3631,0.0,48.0,3577,6975
1776956894220,10,10,3394,0.0,46.8,3811,6975
1776956895527,10,10,3394,0.0,46.8,3811,6975
1776956896849,10,10,0,0,0,0,0
1776956898147,10,10,0,0,0,0,0
1776956899692,10,10,0,0,0,0,0
1776956901090,10,10,0,0,0,0,0
1776956903072,10,10,0,0,0,0,0
1776956904760,10,10,0,0,0,0,0
1776956906054,10,10,0,0,0,0,0
1776956907328,10,10,0,0,0,0,0
1776956908685,10,10,0,0,0,0,0
1776956910051,10,10,0,0,0,0,0
1776956911299,10,10,0,0,0,0,0
1776956913098,10,10,0,0,0,0,0
1776956914741,10,10,0,0,0,0,0
1776956916126,10,10,0,0,0,0,0
1776956917401,10,10,0,0,0,0,0
1776956918761,10,10,0,0,0,0,0
1776956920214,10,10,0,0,0,0,0
1776956921504,10,10,0,0,0,0,0
1776956923057,10,10,0,0,0,0,0
1776956925095,10,10,0,0,0,0,0
