ts_ms,pod_total,pod_ready,queue_depth,rate_in,rate_out,deliver_total,publish_total
1776957369105,10,10,762,0.0,47.6,6193,6897
1776957370407,10,10,525,0.0,47.4,6430,6897
1776957372047,10,10,525,0.0,47.4,6430,6897
1776957373307,10,10,525,0.0,47.4,6430,6897
1776957375064,10,10,289,0.0,47.6,6668,6897
1776957376347,10,10,289,0.0,47.6,6668,6897
1776957377765,10,10,289,0.0,47.6,6668,6897
1776957379072,10,10,289,0.0,47.6,6668,6897
1776957380424,10,10,49,0.0,45.8,6897,6897
1776957382088,10,10,49,0.0,45.8,6897,6897
1776957383364,10,10,49,0.0,45.8,6897,6897
1776957385079,10,10,0,0.0,0.0,6897,6897
1776957387067,10,10,0,0.0,0.0,6897,6897
1776957388354,10,10,0,0.0,0.0,6897,6897
1776957390048,10,10,0,0.0,0.0,6897,6897
1776957391293,10,10,0,0.0,0.0,6897,6897
1776957392581,10,10,0,0.0,0.0,6897,6897
