ts_ms,pod_total,pod_ready,queue_depth,rate_in,rate_out,deliver_total,publish_total
1776956532585,4,1,0,0.0,0.0,6632,6632
1776956534035,1,1,0,0.0,0.0,6632,6632
1776956535306,1,1,0,0.0,0.0,6632,6632
1776956536643,1,1,0,0.0,0.0,6632,6632
1776956538012,1,1,0,0.0,0.0,6632,6632
1776956540020,1,1,0,0.0,0.0,6632,6632
1776956541262,1,1,0,0.0,0.0,6632,6632
1776956543046,1,1,0,0.0,0.0,6632,6632
1776956545054,1,1,0,0.0,0.0,6632,6632
1776956547029,1,1,0,3.8,3.6,6650,6651
1776956549027,1,1,0,3.8,3.6,6650,6651
1776956551050,1,1,1,4.8,5.0,6675,6675
1776956553079,1,1,1,4.8,5.0,6675,6675
1776956555054,5,1,1,4.8,5.0,6675,6675
1776956557050,5,1,1,480.2,5.0,6700,9076
1776956559085,5,1,1,480.2,5.0,6700,9076
1776956560544,5,1,1,480.2,5.0,6700,9076
1776956561854,5,1,3356,661.6,4.8,6724,12384
1776956563212,5,1,3356,661.6,4.8,6724,12384
1776956565083,5,1,3356,661.6,4.8,6724,12384
1776956567052,5,2,6673,204.4,5.4,6751,13406
1776956569055,10,2,6673,204.4,5.4,6751,13406
1776956570428,10,2,6673,204.4,5.4,6751,13406
1776956571824,10,4,6629,204.4,22.8,6865,13406
1776956573104,10,4,6629,204.4,22.8,6865,13406
1776956575074,10,4,6629,0.0,22.8,6865,13406
1776956577081,10,5,6508,0.0,24.0,6985,13406
1776956579075,10,5,6508,0.0,24.0,6985,13406
1776956580602,10,5,6508,0.0,24.0,6985,13406
1776956581913,10,5,6388,0.0,23.6,7103,13406
1776956583219,10,5,6388,0.0,23.6,7103,13406
1776956585106,10,5,6269,0.0,21.2,7209,13406
1776956587944,10,5,6269,0.0,21.2,7209,13406
1776956589420,10,5,6269,0.0,21.2,7209,13406
1776956591128,10,7,6177,0.0,28.0,7349,13406
1776956592698,10,8,6177,0.0,28.0,7349,13406
1776956594070,10,8,6177,0.0,28.0,7349,13406
1776956595402,10,9,6177,0.0,28.0,7349,13406
1776956597056,10,10,5990,0.0,47.0,7584,13406
1776956598355,10,10,5990,0.0,47.0,7584,13406
1776956600079,10,10,5990,0.0,47.0,7584,13406
1776956601359,10,10,5754,0.0,47.2,7820,13406
1776956602628,10,10,5754,0.0,47.2,7820,13406
1776956603961,10,10,5754,0.0,47.2,7820,13406
1776956605288,10,10,5754,0.0,47.2,7820,13406
1776956606722,10,10,5516,0.0,47.0,8055,13406
1776956608080,10,10,5516,0.0,47.0,8055,13406
1776956609413,10,10,5516,0.0,47.0,8055,13406
1776956610680,10,10,5516,0.0,47.0,8055,13406
1776956612016,10,10,5278,0.0,47.4,8292,13406
1776956613346,10,10,5278,0.0,47.4,8292,13406
1776956614728,10,10,5278,0.0,47.4,8292,13406
1776956616064,10,10,5278,0.0,47.4,8292,13406
1776956617371,10,10,5039,0.0,47.6,8530,13406
1776956618650,10,10,5039,0.0,47.6,8530,13406
1776956620047,10,10,5039,0.0,47.6,8530,13406
1776956621337,10,10,4804,0.0,47.2,8766,13406
1776956622596,10,10,4804,0.0,47.2,8766,13406
1776956623931,10,10,4804,0.0,47.2,8766,13406
1776956625261,10,10,4804,0.0,47.2,8766,13406
1776956626525,10,10,4566,0.0,47.6,9004,13406
1776956628053,10,10,4566,0.0,47.6,9004,13406
1776956630064,10,10,4566,0.0,47.6,9004,13406
1776956631370,10,10,4328,0.0,47.4,9241,13406
1776956632615,10,10,4328,0.0,47.4,9241,13406
1776956633973,10,10,4328,0.0,47.4,9241,13406
1776956635286,10,10,4328,0.0,47.4,9241,13406
1776956636555,10,10,4090,0.0,47.8,9480,13406
1776956638057,10,10,4090,0.0,47.8,9480,13406
1776956640087,10,10,0,0,0,0,0
1776956641374,10,10,0,0,0,0,0
1776956642692,10,10,0,0,0,0,0
1776956643949,10,10,0,0,0,0,0
1776956645294,10,10,0,0,0,0,0
1776956646614,10,10,0,0,0,0,0
1776956648066,10,10,0,0,0,0,0
1776956649360,10,10,0,0,0,0,0
1776956650692,10,10,3614,0.0,47.4,9952,13406
1776956652059,10,10,3376,0.0,46.6,10185,13406
1776956653410,10,10,3376,0.0,46.6,10185,13406
1776956654667,10,10,3376,0.0,46.6,10185,13406
1776956656017,10,10,3376,0.0,46.6,10185,13406
1776956657334,10,10,3141,0.0,48.0,10425,13406
1776956658637,10,10,3141,0.0,48.0,10425,13406
1776956660064,10,10,3141,0.0,48.0,10425,13406
1776956661376,10,10,2902,0.0,47.4,10662,13406
1776956662646,10,10,2902,0.0,47.4,10662,13406
1776956663983,10,10,2902,0.0,47.4,10662,13406
1776956665266,10,10,2902,0.0,47.4,10662,13406
1776956666571,10,10,2663,0.0,47.6,10900,13406
1776956668070,10,10,2663,0.0,47.6,10900,13406
1776956669355,10,10,2663,0.0,47.6,10900,13406
1776956670882,10,10,2663,0.0,47.6,10900,13406
1776956672208,10,10,2425,0.0,47.4,11137,13406
1776956673528,10,10,2425,0.0,47.4,11137,13406
1776956674917,10,10,2425,0.0,47.4,11137,13406
1776956676183,10,10,2425,0.0,47.4,11137,13406
1776956677551,10,10,2185,0.0,47.8,11376,13406
1776956678863,10,10,2185,0.0,47.8,11376,13406
1776956680211,10,10,2185,0.0,47.8,11376,13406
1776956681501,10,10,1947,0.0,47.2,11612,13406
1776956682782,10,10,1947,0.0,47.2,11612,13406
1776956684091,10,10,1947,0.0,47.2,11612,13406
1776956685382,10,10,1947,0.0,47.2,11612,13406
1776956686642,10,10,1706,0.0,47.6,11850,13406
1776956688082,10,10,1706,0.0,47.6,11850,13406
1776956690059,10,10,1706,0.0,47.6,11850,13406
1776956691370,10,10,1468,0.0,47.2,12086,13406
1776956692639,10,10,1468,0.0,47.2,12086,13406
1776956693970,10,10,1468,0.0,47.2,12086,13406
