seq,phase_idx,send_ts_ms
318,1,1776956781170
319,1,1776956781171
320,1,1776956781172
321,1,1776956781174
322,1,1776956781175
323,1,1776956781176
324,1,1776956781178
325,1,1776956781179
326,1,1776956781181
327,1,1776956781182
328,1,1776956781183
329,1,1776956781185
330,1,1776956781186
331,1,1776956781188
332,1,1776956781189
333,1,1776956781190
334,1,1776956781191
335,1,1776956781193
336,1,1776956781194
337,1,1776956781196
338,1,1776956781197
339,1,1776956781198
340,1,1776956781200
341,1,1776956781201
342,1,1776956781202
343,1,1776956781204
344,1,1776956781205
345,1,1776956781207
346,1,1776956781208
347,1,1776956781209
348,1,1776956781210
349,1,1776956781212
350,1,1776956781213
351,1,1776956781215
352,1,1776956781216
353,1,1776956781217
354,1,1776956781219
355,1,1776956781220
356,1,1776956781221
357,1,1776956781223
358,1,1776956781224
359,1,1776956781226
360,1,1776956781227
361,1,1776956781228
362,1,1776956781230
363,1,1776956781231
364,1,1776956781232
365,1,1776956781234
366,1,1776956781235
367,1,1776956781236
368,1,1776956781238
369,1,1776956781239
370,1,1776956781241
371,1,1776956781242
372,1,1776956781243
373,1,1776956781245
374,1,1776956781246
375,1,1776956781248
376,1,1776956781249
377,1,1776956781250
378,1,1776956781252
379,1,1776956781253
380,1,1776956781255
381,1,1776956781256
382,1,1776956781257
383,1,1776956781258
384,1,1776956781260
385,1,1776956781261
386,1,1776956781263
387,1,1776956781264
388,1,1776956781265
389,1,1776956781266
390,1,1776956781268
391,1,1776956781269
392,1,1776956781271
393,1,1776956781272
394,1,1776956781273
395,1,1776956781275
396,1,1776956781276
397,1,1776956781277
398,1,1776956781279
399,1,1776956781280
400,1,1776956781281
401,1,1776956781283
402,1,1776956781284
403,1,1776956781285
404,1,1776956781287
405,1,1776956781288
406,1,1776956781289
407,1,1776956781291
408,1,1776956781292
409,1,1776956781293
410,1,1776956781295
411,1,1776956781296
412,1,1776956781298
413,1,1776956781299
414,1,1776956781300
415,1,1776956781301
416,1,1776956781303
417,1,1776956781304
418,1,1776956781306
419,1,1776956781307
420,1,1776956781308
421,1,1776956781310
422,1,1776956781311
423,1,1776956781313
424,1,1776956781314
425,1,1776956781315
426,1,1776956781317
427,1,1776956781318
428,1,1776956781319
429,1,1776956781321
430,1,1776956781322
431,1,1776956781323
432,1,1776956781324
433,1,1776956781326
434,1,1776956781327
435,1,1776956781328
436,1,1776956781330
437,1,1776956781331
438,1,1776956781332
439,1,1776956781334
440,1,1776956781335
441,1,1776956781337
442,1,1776956781338
443,1,1776956781339
444,1,1776956781341
445,1,1776956781342
446,1,1776956781344
447,1,1776956781345
448,1,1776956781346
449,1,1776956781348
450,1,1776956781349
451,1,1776956781350
452,1,1776956781352
453,1,1776956781353
454,1,1776956781354
455,1,1776956781356
456,1,1776956781357
457,1,1776956781359
458,1,1776956781360
459,1,1776956781361
460,1,1776956781362
461,1,1776956781364
462,1,1776956781365
463,1,1776956781367
464,1,1776956781368
465,1,1776956781369
466,1,1776956781371
467,1,1776956781372
468,1,1776956781373
469,1,1776956781375
470,1,1776956781376
471,1,1776956781377
472,1,1776956781379
473,1,1776956781380
474,1,1776956781381
475,1,1776956781383
476,1,1776956781384
477,1,1776956781385
478,1,1776956781387
479,1,1776956781388
480,1,1776956781389
481,1,1776956781391
482,1,1776956781392
483,1,1776956781394
484,1,1776956781395
485,1,1776956781396
486,1,1776956781398
487,1,1776956781399
488,1,1776956781400
489,1,1776956781402
490,1,1776956781403
491,1,1776956781405
492,1,1776956781406
493,1,1776956781408
494,1,1776956781409
495,1,1776956781410
496,1,1776956781412
497,1,1776956781413
498,1,1776956781414
499,1,1776956781416
500,1,1776956781417
501,1,1776956781419
502,1,1776956781420
503,1,1776956781421
504,1,1776956781423
505,1,1776956781424
506,1,1776956781426
507,1,1776956781429
508,1,1776956781430
509,1,1776956781432
510,1,1776956781433
511,1,1776956781434
512,1,1776956781437
513,1,1776956781438
514,1,1776956781440
515,1,1776956781441
516,1,1776956781442
517,1,1776956781444
518,1,1776956781445
519,1,1776956781446
520,1,1776956781448
521,1,1776956781450
522,1,1776956781454
523,1,1776956781456
524,1,1776956781457
525,1,1776956781458
526,1,1776956781460
527,1,1776956781461
528,1,1776956781462
529,1,1776956781464
530,1,1776956781465
531,1,1776956781467
532,1,1776956781468
533,1,1776956781469
534,1,1776956781471
535,1,1776956781472
536,1,1776956781475
537,1,1776956781480
538,1,1776956781481
539,1,1776956781483
540,1,1776956781484
541,1,1776956781485
542,1,1776956781487
543,1,1776956781488
544,1,1776956781489
545,1,1776956781491
546,1,1776956781492
547,1,1776956781495
548,1,1776956781496
549,1,1776956781498
550,1,1776956781499
551,1,1776956781500
552,1,1776956781502
553,1,1776956781503
554,1,1776956781504
555,1,1776956781506
556,1,1776956781507
557,1,1776956781509
558,1,1776956781510
559,1,1776956781511
560,1,1776956781513
561,1,1776956781514
562,1,1776956781516
563,1,1776956781517
564,1,1776956781518
565,1,1776956781520
566,1,1776956781521
567,1,1776956781523
568,1,1776956781524
569,1,1776956781526
570,1,1776956781527
571,1,1776956781528
572,1,1776956781530
573,1,1776956781531
574,1,1776956781532
575,1,1776956781534
576,1,1776956781535
577,1,1776956781537
578,1,1776956781538
579,1,1776956781539
580,1,1776956781541
