ts_ms,pod_total,pod_ready,queue_depth,rate_in,rate_out,deliver_total,publish_total
1776956971930,1,1,0,0,0,0,0
1776956973218,1,1,0,0,0,0,0
1776956974501,1,1,0,0,0,0,0
1776956975871,1,1,0,0,0,0,0
1776956977151,1,1,0,0,0,0,0
1776956978496,1,1,0,0,0,0,0
1776956979788,1,1,0,0,0,0,0
1776956981107,1,1,0,0,0,0,0
1776956982385,1,1,0,0,0,0,0
1776956983649,1,1,0,0,0,0,0
1776956984894,1,1,0,0.0,0.0,12,12
1776956986210,1,1,0,0.0,0.0,12,12
1776956987525,1,1,0,0.0,0.0,12,12
1776956988849,2,1,0,0.0,0.0,12,12
1776956990118,2,1,1,5.0,5.0,37,37
1776956991391,2,1,1,5.0,5.0,37,37
1776956992668,2,1,1,5.0,5.0,37,37
1776956994011,2,1,1,5.0,5.0,37,37
1776956995291,2,1,1,314.4,5.0,62,1609
1776956996542,2,1,1,314.4,5.0,62,1609
1776956998040,2,1,1,314.4,5.0,62,1609
1776956999337,2,1,3434,689.6,4.8,86,5057
1776957000654,2,1,3434,689.6,4.8,86,5057
1776957001952,2,1,3434,689.6,4.8,86,5057
1776957003293,2,2,3434,689.6,4.8,86,5057
1776957004827,6,2,6865,383.4,9.4,133,6974
1776957006242,6,2,6865,383.4,9.4,133,6974
1776957007518,6,2,6865,383.4,9.4,133,6974
1776957009065,6,2,6815,383.4,9.8,182,6974
1776957011079,6,2,6815,0.0,9.8,182,6974
1776957013074,6,2,6815,0.0,9.8,182,6974
1776957015083,6,2,6766,0.0,9.6,230,6974
1776957017060,6,2,6766,0.0,9.6,230,6974
1776957019058,10,5,6766,0.0,9.6,230,6974
1776957020354,10,6,6705,0.0,20.8,334,6974
1776957022054,10,6,6705,0.0,20.8,334,6974
1776957023377,10,6,6705,0.0,20.8,334,6974
1776957025062,10,6,6561,0.0,28.4,476,6974
1776957027091,10,6,6561,0.0,28.4,476,6974
1776957029058,10,6,6420,0.0,28.4,618,6974
1776957031048,10,6,6420,0.0,28.4,618,6974
1776957033062,10,6,6420,0.0,28.4,618,6974
1776957034617,10,6,6276,0.0,28.8,762,6974
1776957035919,10,6,6276,0.0,28.8,762,6974
1776957037243,10,6,6276,0.0,28.8,762,6974
1776957039087,10,6,6126,0.0,36.2,943,6974
1776957040636,10,6,6126,0.0,36.2,943,6974
1776957041946,10,6,6126,0.0,36.2,943,6974
1776957043289,10,9,6126,0.0,36.2,943,6974
1776957044663,10,10,5894,0.0,47.4,1180,6974
1776957045953,10,10,5894,0.0,47.4,1180,6974
1776957047302,10,10,5894,0.0,47.4,1180,6974
1776957049063,10,10,5662,0.0,46.8,1414,6974
1776957051072,10,10,5662,0.0,46.8,1414,6974
1776957053071,10,10,5662,0.0,46.8,1414,6974
1776957054795,10,10,5421,0.0,47.8,1653,6974
1776957056066,10,10,5421,0.0,47.8,1653,6974
1776957057402,10,10,5421,0.0,47.8,1653,6974
1776957059065,10,10,5182,0.0,47.4,1890,6974
1776957061071,10,10,5182,0.0,47.4,1890,6974
1776957063065,10,10,5182,0.0,47.4,1890,6974
1776957064901,10,10,4944,0.0,47.6,2128,6974
1776957066206,10,10,4944,0.0,47.6,2128,6974
1776957067479,10,10,4944,0.0,47.6,2128,6974
1776957069052,10,10,4704,0.0,47.4,2365,6974
1776957071064,10,10,4704,0.0,47.4,2365,6974
1776957073079,10,10,4704,0.0,47.4,2365,6974
1776957075074,10,10,4467,0.0,47.6,2603,6974
1776957077058,10,10,0,0,0,0,0
1776957079065,10,10,0,0,0,0,0
1776957080533,10,10,0,0,0,0,0
1776957081873,10,10,0,0,0,0,0
1776957083153,10,10,0,0,0,0,0
1776957085051,10,10,0,0,0,0,0
1776957086363,10,10,0,0,0,0,0
1776957087677,10,10,0,0,0,0,0
1776957089037,10,10,0,0,0,0,0
1776957090385,10,10,0,0,0,0,0
1776957091712,10,10,0,0,0,0,0
1776957093077,10,10,0,0,0,0,0
1776957094454,10,10,0,0,0,0,0
1776957095969,10,10,0,0,0,0,0
1776957097251,10,10,0,0,0,0,0
1776957099063,10,10,0,0,0,0,0
1776957100428,10,10,0,0,0,0,0
1776957101790,10,10,0,0,0,0,0
1776957103098,10,10,0,0,0,0,0
1776957104514,10,10,0,0,0,0,0
1776957105809,10,10,0,0,0,0,0
1776957107175,10,10,0,0,0,0,0
1776957109072,10,10,0,0,0,0,0
1776957110372,10,10,0,0,0,0,0
1776957111718,10,10,0,0,0,0,0
1776957113098,10,10,0,0,0,0,0
1776957114398,10,10,0,0,0,0,0
1776957115700,10,10,0,0,0,0,0
1776957117081,10,10,0,0,0,0,0
1776957118468,10,10,0,0,0,0,0
1776957119765,10,10,0,0,0,0,0
1776957121053,10,10,0,0,0,0,0
1776957122336,10,10,0,0,0,0,0
1776957123700,10,10,0,0,0,0,0
1776957125083,10,10,0,0,0,0,0
1776957126389,10,10,0,0,0,0,0
1776957127695,10,10,0,0,0,0,0
1776957129077,10,10,0,0,0,0,0
1776957130579,10,10,0,0,0,0,0
1776957131970,10,10,0,0,0,0,0
1776957133251,10,10,0,0,0,0,0
1776957134537,10,10,0,0,0,0,0
1776957135904,10,10,0,0,0,0,0
1776957137213,10,10,0,0,0,0,0
1776957138531,10,10,0,0,0,0,0
1776957139834,10,10,0,0,0,0,0
1776957141140,10,10,0,0,0,0,0
1776957142442,10,10,0,0,0,0,0
1776957143748,10,10,0,0,0,0,0
1776957145073,10,10,0,0,0,0,0
1776957146354,10,10,0,0,0,0,0
1776957147673,10,10,0,0,0,0,0
1776957149047,10,10,0,0,0,0,0
