group,run,reaction_latency_s,scale_up_time_s,drain_time_s,peak_pods,avg_throughput,messages_delivered
baseline,1,10.001999999999999,40.006,66.983,10,33.496428571428574,6406
baseline,2,8.001999999999999,49.372,67.993,10,29.14,2603
baseline,3,19.983999999999998,50.25,30.317000000000007,10,13.729411764705883,701
keda,1,25.063999999999997,49.45700000000001,39.39,10,16.551351351351347,3811
keda,2,23.984999999999996,51.010999999999996,35.936,10,13.600000000000001,6897
keda,3,18.290000000000003,44.297,135.80100000000002,10,38.11607142857143,5904
